,index_x,date,word_countmean,readabilitymean,index_y,collectionname,num_of_sellers,number_of_buyers,volume_of_assets_traded,number_of_transcations_index,median_price,Negative,Neutral,Positive,popular_tweetfirst_0.0,popular_tweetfirst_1.0,very_popular_tweetfirst_0.0,very_popular_tweetfirst_1.0
0,0,2021-08-24,19.0,52.19,0,Parallel Alpha,821,643,77,1515,0.5829144365284974,0,0,1,1,0,1,0
1,1,2021-08-31,18.666666666666668,52.53,1,Parallel Alpha,963,1031,87,2898,0.5290109880341881,1,0,0,0,1,1,0
8,8,2021-10-19,19.0,52.19,8,Parallel Alpha,82,62,49,124,0.517299193548387,0,0,1,1,0,1,0
9,9,2021-10-26,15.666666666666666,48.525,9,Parallel Alpha,69,69,45,117,0.47123675213675215,0,0,1,1,0,1,0
10,10,2021-11-02,19.34468085106383,44.74897872340426,10,Parallel Alpha,827,737,97,1801,0.59675029274031,0,0,1,1,0,1,0
11,11,2021-11-09,19.378973105134474,44.836210268948655,11,Parallel Alpha,968,667,63,1706,0.6449117836842413,0,0,1,1,0,1,0
12,12,2021-11-16,21.474747474747474,41.47631313131313,12,Parallel Alpha,355,265,54,581,0.6844191053184165,0,0,1,0,1,1,0
13,13,2021-11-23,20.786324786324787,45.82299145299145,13,Parallel Alpha,302,222,47,488,0.8097310590163934,0,0,1,0,1,0,1
14,14,2021-11-30,21.65625,33.631875,14,Parallel Alpha,137,73,48,186,0.6655328205128205,1,0,0,1,0,1,0
15,15,2021-12-07,22.642857142857142,34.39357142857143,15,Parallel Alpha,73,58,36,93,0.5317861595744681,1,0,0,1,0,1,0
16,16,2021-12-14,20.697674418604652,42.00813953488372,16,Parallel Alpha,63,38,34,64,0.6240161764705883,0,0,1,1,0,1,0
17,17,2021-12-21,20.902439024390244,29.831707317073167,17,Parallel Alpha,210,71,43,266,0.7155449184814445,1,0,0,1,0,1,0
18,18,2021-12-28,21.76923076923077,39.83589743589744,18,Parallel Alpha,113,75,45,149,0.7128161688311688,0,1,0,1,0,1,0
19,19,2022-01-04,23.545454545454547,55.27090909090909,19,Parallel Alpha,124,76,49,168,0.6747395428571429,0,0,1,1,0,1,0
20,20,2022-01-11,18.6,47.522000000000006,20,Parallel Alpha,101,68,38,121,0.7705921276595745,1,0,0,1,0,1,0
21,21,2022-01-18,21.70769230769231,39.811846153846155,21,Parallel Alpha,507,264,68,673,0.6713540442630906,0,1,0,1,0,1,0
22,22,2022-01-25,21.70731707317073,37.88804878048781,22,Parallel Alpha,217,152,60,284,0.5204236691049383,0,0,1,0,1,1,0
23,23,2022-02-01,21.61111111111111,40.14055555555556,23,Parallel Alpha,175,103,66,242,0.6063220485342019,1,0,0,1,0,1,0
24,24,2022-02-08,22.272727272727273,26.82151515151515,24,Parallel Alpha,72,50,36,87,0.6910821782178218,1,0,0,1,0,1,0
25,25,2022-02-15,21.976190476190474,32.249761904761904,25,Parallel Alpha,37,40,29,49,0.870716,1,0,0,1,0,1,0
26,26,2022-02-22,22.666666666666668,24.216333333333335,26,Parallel Alpha,60,40,32,75,0.6806691358024691,1,0,0,1,0,1,0
27,27,2022-03-01,24.78787878787879,37.343333333333334,27,Parallel Alpha,584,462,58,765,0.5804070849490154,0,1,0,1,0,1,0
28,28,2022-03-08,25.573333333333334,38.9764,28,Parallel Alpha,271,189,50,316,0.659229292648415,0,0,1,1,0,1,0
29,29,2022-03-15,24.066666666666666,35.204,29,Parallel Alpha,201,118,43,213,0.6635699313989761,0,0,1,1,0,1,0
30,30,2022-03-22,24.2,32.361599999999996,30,Parallel Alpha,95,70,33,120,0.5859377703703703,1,0,0,0,1,1,0
31,31,2022-03-29,23.307692307692307,25.04076923076923,31,Parallel Alpha,53,33,28,59,0.6508,1,0,0,0,1,1,0
32,32,2022-04-05,22.53125,25.6053125,32,Parallel Alpha,34,27,20,36,0.5552538461538462,1,0,0,0,1,1,0
33,33,2022-04-12,15.343373493975903,45.20132530120482,33,Parallel Alpha,42,33,26,46,0.5656673469387755,1,0,0,1,0,1,0
